Date,NotCovidPatients,CovidPatients
2020-04-01,227.0,311.0
2020-04-02,226.0,338.0
2020-04-03,223.0,362.0
2020-04-04,200.0,375.0
2020-04-05,174.0,404.0
2020-04-06,167.0,427.0
2020-04-07,173.0,435.0
2020-04-08,188.0,463.0
2020-04-09,212.0,470.0
2020-04-10,195.0,494.0
2020-04-11,191.0,488.0
2020-04-12,171.0,513.0
2020-04-13,176.0,530.0
2020-04-14,179.0,526.0
2020-04-15,187.0,530.0
2020-04-16,203.0,528.0
2020-04-17,199.0,527.0
2020-04-18,191.0,545.0
2020-04-19,155.0,543.0
2020-04-20,183.0,533.0
2020-04-21,210.0,536.0
2020-04-22,226.0,524.0
2020-04-23,222.0,533.0
2020-04-24,212.0,545.0
2020-04-25,193.0,560.0
2020-04-26,192.0,557.0
2020-04-27,202.0,544.0
2020-04-28,224.0,550.0
2020-04-29,240.0,537.0
2020-04-30,223.0,540.0
2020-05-01,210.0,530.0
2020-05-02,220.0,518.0
2020-05-03,213.0,509.0
2020-05-04,229.0,514.0
2020-05-05,236.0,505.0
2020-05-06,240.0,500.0
2020-05-07,246.0,481.0
2020-05-08,247.0,474.0
2020-05-09,232.0,471.0
2020-05-10,235.0,466.0
2020-05-11,239.0,440.0
2020-05-12,257.0,430.0
2020-05-13,264.0,413.0
2020-05-14,281.0,398.0
2020-05-15,263.0,397.0
2020-05-16,257.0,379.0
2020-05-17,243.0,371.0
2020-05-18,256.0,384.0
2020-05-19,277.0,372.0
2020-05-20,290.0,361.0
2020-05-21,281.0,354.0
2020-05-22,260.0,336.0
2020-05-23,242.0,334.0
2020-05-24,240.0,335.0
2020-05-25,247.0,343.0
2020-05-26,244.0,342.0
2020-05-27,263.0,335.0
2020-05-28,267.0,329.0
2020-05-29,248.0,311.0
2020-05-30,235.0,308.0
2020-05-31,240.0,313.0
2020-06-01,257.0,311.0
2020-06-02,273.0,307.0
2020-06-03,268.0,303.0
2020-06-04,287.0,296.0
2020-06-05,288.0,295.0
2020-06-06,273.0,289.0
2020-06-07,255.0,298.0
2020-06-08,273.0,296.0
2020-06-09,288.0,288.0
2020-06-10,285.0,282.0
2020-06-11,277.0,270.0
2020-06-12,294.0,263.0
2020-06-13,273.0,258.0
2020-06-14,272.0,252.0
2020-06-15,266.0,244.0
2020-06-16,280.0,229.0
2020-06-17,276.0,218.0
2020-06-18,280.0,221.0
2020-06-19,266.0,214.0
2020-06-20,275.0,214.0
2020-06-21,254.0,203.0
2020-06-22,259.0,200.0
2020-06-23,274.0,193.0
2020-06-24,268.0,190.0
2020-06-25,264.0,181.0
2020-06-26,261.0,171.0
2020-06-27,260.0,157.0
2020-06-28,265.0,150.0
2020-06-29,277.0,152.0
2020-06-30,288.0,144.0
2020-07-01,294.0,137.0
2020-07-02,299.0,125.0
2020-07-03,294.0,128.0
2020-07-04,291.0,126.0
2020-07-05,286.0,120.0
2020-07-06,286.0,116.0
2020-07-07,291.0,104.0
2020-07-08,284.0,92.0
2020-07-09,273.0,90.0
2020-07-10,284.0,85.0
2020-07-11,277.0,83.0
2020-07-12,271.0,84.0
2020-07-13,283.0,85.0
2020-07-14,276.0,80.0
2020-07-15,287.0,73.0
2020-07-16,285.0,69.0
2020-07-17,298.0,62.0
2020-07-18,291.0,62.0
2020-07-19,291.0,56.0
2020-07-20,280.0,52.0
2020-07-21,275.0,59.0
2020-07-22,264.0,58.0
2020-07-23,260.0,58.0
2020-07-24,266.0,50.0
2020-07-25,258.0,53.0
2020-07-26,258.0,50.0
2020-07-27,254.0,49.0
2020-07-28,256.0,46.0
2020-07-29,268.0,43.0
2020-07-30,268.0,40.0
2020-07-31,252.0,40.0
2020-08-01,264.0,38.0
2020-08-02,264.0,40.0
2020-08-03,285.0,36.0
2020-08-04,288.0,40.0
2020-08-05,287.0,41.0
2020-08-06,287.0,41.0
2020-08-07,276.0,35.0
2020-08-08,269.0,38.0
2020-08-09,275.0,37.0
2020-08-10,287.0,33.0
2020-08-11,279.0,34.0
2020-08-12,289.0,34.0
2020-08-13,299.0,31.0
2020-08-14,282.0,31.0
2020-08-15,289.0,33.0
2020-08-16,286.0,30.0
2020-08-17,287.0,31.0
2020-08-18,293.0,27.0
2020-08-19,315.0,29.0
2020-08-20,299.0,27.0
2020-08-21,307.0,26.0
2020-08-22,306.0,26.0
2020-08-23,320.0,27.0
2020-08-24,307.0,22.0
2020-08-25,319.0,26.0
2020-08-26,315.0,22.0
2020-08-27,311.0,21.0
2020-08-28,307.0,20.0
2020-08-29,308.0,21.0
2020-08-30,302.0,23.0
2020-08-31,290.0,19.0
